"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating","Segment"
"1",188376,1,20,2,0,6,6,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"2",319101,1,17,2,184000,9,4,2,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"3",339962,1,20,2,297000,9,5,2,2,2,2,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"1"
"4",363725,2,20,2,0,1,6,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"5",508561,1,8,2,0,9,5,2,2,2,2,2,1,0,14,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,"1"
"6",544047,1,20,2,179000,2,7,2,2,2,2,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"7",650318,1,12,2,0,5,6,2,2,2,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"8",789551,1,20,2,0,8,4,2,2,2,2,2,3,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,"1"
"9",839808,1,6,2,0,6,5,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"10",866490,1,20,2,196000,9,6,2,2,2,2,2,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"1"
"11",932228,1,1,2,0,9,7,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"12",948862,1,5,2,0,1,7,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"13",1033390,1,20,2,0,4,7,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"14",1036732,2,5,2,0,3,6,2,2,2,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3"
"15",1072117,1,2,2,0,5,4,2,2,2,2,2,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"16",1078023,4,16,2,134000,2,7,2,2,2,2,2,1,0,14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"17",1093592,1,19,2,0,1,7,2,2,2,2,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"1"
"18",1532297,1,20,2,0,4,7,2,2,2,2,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"19",1563081,1,4,2,0,7,4,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"20",1603490,1,17,2,55000,7,5,2,2,2,2,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"21",1726977,1,6,2,0,9,6,2,2,2,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"22",1759520,1,7,2,0,8,5,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"23",1810022,1,20,2,0,7,5,2,2,2,2,2,1,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"1"
"24",1812154,1,4,2,0,9,4,2,2,3,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"25",1820490,1,17,2,195000,8,4,2,2,2,2,2,3,0,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"1"
"26",1824223,1,17,2,188000,6,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"27",1893883,1,20,2,0,8,3,2,2,2,2,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,"1"
"28",2024814,1,6,2,0,9,4,2,2,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"29",2144224,1,20,2,129000,6,4,2,2,2,2,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1"
"30",2171772,1,20,2,0,9,4,2,2,2,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"31",2197681,1,15,2,0,1,6,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"32",31024767,1,20,2,145000,7,4,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"33",31045819,1,20,2,0,6,7,2,2,2,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"3"
"34",31063237,1,20,2,132000,6,6,2,2,2,2,2,1,0,14,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"1"
"35",31065009,1,19,2,142000,4,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"36",31070959,1,13,2,149000,6,4,2,2,2,2,2,3,0,15,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,"1"
"37",31083891,1,18,2,114000,5,3,2,2,2,3,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"38",31096775,1,20,2,238000,8,4,2,2,2,2,2,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"1"
"39",31098212,1,18,2,232000,9,4,2,2,2,3,2,2,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"1"
"40",31112824,1,20,2,202000,7,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"41",31113938,1,2,2,0,9,4,2,2,2,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"42",31114953,1,20,2,187000,6,5,2,2,2,2,2,3,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,"1"
"43",31127096,1,20,2,0,1,5,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"44",31127969,1,20,2,156000,6,5,2,2,2,2,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"45",31130562,1,5,2,0,9,4,2,2,2,3,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"46",31133973,1,19,2,182000,9,4,2,2,2,2,3,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"1"
"47",31153664,1,13,2,191000,8,3,2,2,2,3,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"48",31157867,2,2,2,0,6,6,2,2,2,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"49",31161388,1,19,2,302000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"50",31163660,1,8,2,218000,7,7,2,2,2,2,2,1,1,5,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,"1"
"51",31173595,1,16,2,0,9,3,2,2,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"3"
"52",31181332,1,8,2,0,6,6,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"53",31186667,3,10,2,237000,2,6,2,2,2,2,2,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"54",31193532,1,20,2,0,4,7,2,2,2,2,2,1,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3"
"55",31203132,1,20,2,347000,9,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"56",31208677,1,20,2,331000,9,5,2,2,2,2,2,2,0,15,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,"1"
