School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
Air Force,Mt. West,Troy Calhoun,885000.00,885000.00,247000.00,--,0.00,--
Akron,MAC,Terry Bowden,411000.00,412500.00,225000.00,50000.00,0.00,688500.00
Alabama,SEC,Nick Saban,8307000.00,8307000.00,1100000.00,500000.00,0.00,33600000.00
Alabama at Birmingham,C-USA,Bill Clark,900000.00,900000.00,950000.00,165471.00,0.00,3847500.00
Appalachian State,Sun Belt,Scott Satterfield,712500.00,712500.00,295000.00,145000.00,0.00,2160417.00
Arizona,Pac-12,Kevin Sumlin,1600000.00,2000000.00,2025000.00,--,0.00,10000000.00
Arizona State,Pac-12,Herm Edwards,2000000.00,2000000.00,3010000.00,--,0.00,8166667.00
Arkansas,SEC,Chad Morris,3500000.00,3500000.00,1000000.00,--,0.00,12500000.00
Arkansas State,Sun Belt,Blake Anderson,825000.00,825000.00,185000.00,25000.00,0.00,300000.00
Army,Ind.,Jeff Monken,932521.00,932521.00,--,--,0.00,--
Auburn,SEC,Gus Malzahn,6700000.00,6705656.00,1400000.00,375000.00,0.00,32143750.00
Ball State,MAC,Mike Neu,435689.00,435689.00,380000.00,30000.00,0.00,980300.00
Baylor,Big 12,Matt Rhule,--,--,--,--,0.00,--
Boise State,Mt. West,Bryan Harsin,1650010.00,1650010.00,475000.00,145000.00,0.00,7784038.00
Boston College,ACC,Steve Addazio,2514859.00,2514859.00,--,--,0.00,--
Bowling Green,MAC,Mike Jinks,437228.00,437228.00,245000.00,81250.00,0.00,874456.00
Brigham Young,Ind.,Kalani Sitake,--,--,--,--,0.00,--
Buffalo,MAC,Lance Leipold,455500.00,455500.00,381000.00,0.00,0.00,1020833.00
California,Pac-12,Justin Wilcox,1500000.00,1500000.00,900000.00,75000.00,0.00,7208500.00
Central Florida,AAC,Josh Heupel,1700000.00,1700000.00,250000.00,--,0.00,3587500.00
Central Michigan,MAC,John Bonamego,655000.00,655000.00,415000.00,45000.00,0.00,1125000.00
Charlotte,C-USA,Brad Lambert,625000.00,625000.00,120000.00,0.00,0.00,556389.00
Cincinnati,AAC,Luke Fickell,2000000.00,2000000.00,625000.00,0.00,0.00,7100000.00
Clemson,ACC,Dabo Swinney,6205000.00,6543350.00,1125000.00,500000.00,0.00,35000000.00
Coastal Carolina,Sun Belt,Joe Moglia,400000.00,400000.00,800000.00,25000.00,0.00,516667.00
Colorado,Pac-12,Mike MacIntyre,2878500.00,2878500.00,2150000.00,297000.00,0.00,10314583.00
Colorado State,Mt. West,Mike Bobo,1800000.00,1800000.00,905000.00,50000.00,0.00,8000000.00
